DDLB_ECOLI  0.53  0.38  0.48  0.50  0.44  0.26  0.36
DEOC_ECOLI  0.34  0.33  0.48  0.50  0.38  0.35  0.44
DLDH_ECOLI  0.56  0.51  0.48  0.50  0.34  0.37  0.46
EFG_ECOLI   0.40  0.29  0.48  0.50  0.42  0.35  0.44
EFTS_ECOLI  0.24  0.35  0.48  0.50  0.31  0.19  0.31
EFTU_ECOLI  0.36  0.54  0.48  0.50  0.41  0.38  0.46
ENO_ECOLI   0.29  0.52  0.48  0.50  0.42  0.29  0.39
FABB_ECOLI  0.65  0.47  0.48  0.50  0.59  0.30  0.40
FES_ECOLI   0.32  0.42  0.48  0.50  0.35  0.28  0.38
G3P1_ECOLI  0.38  0.46  0.48  0.50  0.48  0.22  0.29
G3P2_ECOLI  0.33  0.45  0.48  0.50  0.52  0.32  0.41
G6PI_ECOLI  0.30  0.37  0.48  0.50  0.59  0.41  0.49
GCVA_ECOLI  0.40  0.50  0.48  0.50  0.45  0.39  0.47
GLNA_ECOLI  0.28  0.38  0.48  0.50  0.50  0.33  0.42
GLPD_ECOLI  0.61  0.45  0.48  0.50  0.48  0.35  0.41
GLYA_ECOLI  0.17  0.38  0.48  0.50  0.45  0.42  0.50
GSHR_ECOLI  0.44  0.35  0.48  0.50  0.55  0.55  0.61
GT_ECOLI    0.43  0.40  0.48  0.50  0.39  0.28  0.39
HEM6_ECOLI  0.42  0.35  0.48  0.50  0.58  0.15  0.27
HEMN_ECOLI  0.23  0.33  0.48  0.50  0.43  0.33  0.43
HPRT_ECOLI  0.37  0.52  0.48  0.50  0.42  0.42  0.36
IF1_ECOLI   0.29  0.30  0.48  0.50  0.45  0.03  0.17
IF2_ECOLI   0.22  0.36  0.48  0.50  0.35  0.39  0.47
ILVY_ECOLI  0.23  0.58  0.48  0.50  0.37  0.53  0.59
IPYR_ECOLI  0.47  0.47  0.48  0.50  0.22  0.16  0.26
KAD_ECOLI   0.54  0.47  0.48  0.50  0.28  0.33  0.42
KDSA_ECOLI  0.51  0.37  0.48  0.50  0.35  0.36  0.45
LEU3_ECOLI  0.40  0.35  0.48  0.50  0.45  0.33  0.42
LON_ECOLI   0.44  0.34  0.48  0.50  0.30  0.33  0.43
LPLA_ECOLI  0.42  0.38  0.48  0.50  0.54  0.34  0.43
LYSR_ECOLI  0.44  0.56  0.48  0.50  0.50  0.46  0.54
MALQ_ECOLI  0.52  0.36  0.48  0.50  0.41  0.28  0.38
MALZ_ECOLI  0.36  0.41  0.48  0.50  0.48  0.47  0.54
MASY_ECOLI  0.18  0.30  0.48  0.50  0.46  0.24  0.35
METB_ECOLI  0.47  0.29  0.48  0.50  0.51  0.33  0.43
METC_ECOLI  0.24  0.43  0.48  0.50  0.54  0.52  0.59
METK_ECOLI  0.25  0.37  0.48  0.50  0.41  0.33  0.42
METR_ECOLI  0.52  0.57  0.48  0.50  0.42  0.47  0.54
METX_ECOLI  0.25  0.37  0.48  0.50  0.43  0.26  0.36
MURF_ECOLI  0.35  0.48  0.48  0.50  0.56  0.40  0.48
NADA_ECOLI  0.26  0.26  0.48  0.50  0.34  0.25  0.35
NFRC_ECOLI  0.44  0.51  0.48  0.50  0.47  0.26  0.36
NHAR_ECOLI  0.37  0.50  0.48  0.50  0.42  0.36  0.45
NIRD_ECOLI  0.44  0.42  0.48  0.50  0.42  0.25  0.20
OMPR_ECOLI  0.24  0.43  0.48  0.50  0.37  0.28  0.38
OTC1_ECOLI  0.42  0.30  0.48  0.50  0.48  0.26  0.36
OTC2_ECOLI  0.48  0.42  0.48  0.50  0.45  0.25  0.35
PEPE_ECOLI  0.41  0.48  0.48  0.50  0.51  0.44  0.51
PFLA_ECOLI  0.44  0.28  0.48  0.50  0.43  0.27  0.37
PFLB_ECOLI  0.29  0.41  0.48  0.50  0.48  0.38  0.46
PGK_ECOLI   0.34  0.28  0.48  0.50  0.41  0.35  0.44
PHOB_ECOLI  0.41  0.43  0.48  0.50  0.45  0.31  0.41
PHOH_ECOLI  0.29  0.47  0.48  0.50  0.41  0.23  0.34
PMBA_ECOLI  0.34  0.55  0.48  0.50  0.58  0.31  0.41
PNP_ECOLI   0.36  0.56  0.48  0.50  0.43  0.45  0.53
PROB_ECOLI  0.40  0.46  0.48  0.50  0.52  0.49  0.56
PT1A_ECOLI  0.50  0.49  0.48  0.50  0.49  0.46  0.53
PT1_ECOLI   0.52  0.44  0.48  0.50  0.37  0.36  0.42
PTCA_ECOLI  0.50  0.51  0.48  0.50  0.27  0.23  0.34
PTCB_ECOLI  0.53  0.42  0.48  0.50  0.16  0.29  0.39
PTFA_ECOLI  0.34  0.46  0.48  0.50  0.52  0.35  0.44
PTGA_ECOLI  0.40  0.42  0.48  0.50  0.37  0.27  0.27
PTHA_ECOLI  0.41  0.43  0.48  0.50  0.50  0.24  0.25
PTHP_ECOLI  0.30  0.45  0.48  0.50  0.36  0.21  0.32
PTKA_ECOLI  0.31  0.47  0.48  0.50  0.29  0.28  0.39
PTKB_ECOLI  0.64  0.76  0.48  0.50  0.45  0.35  0.38
PTNA_ECOLI  0.35  0.37  0.48  0.50  0.30  0.34  0.43
PTWB_ECOLI  0.57  0.54  0.48  0.50  0.37  0.28  0.33
PTWX_ECOLI  0.65  0.55  0.48  0.50  0.34  0.37  0.28
RHAR_ECOLI  0.51  0.46  0.48  0.50  0.58  0.31  0.41
RHAS_ECOLI  0.38  0.40  0.48  0.50  0.63  0.25  0.35
RIMI_ECOLI  0.24  0.57  0.48  0.50  0.63  0.34  0.43
RIMJ_ECOLI  0.38  0.26  0.48  0.50  0.54  0.16  0.28
RIML_ECOLI  0.33  0.47  0.48  0.50  0.53  0.18  0.29
RNB_ECOLI   0.24  0.34  0.48  0.50  0.38  0.30  0.40
RNC_ECOLI   0.26  0.50  0.48  0.50  0.44  0.32  0.41
RND_ECOLI   0.44  0.49  0.48  0.50  0.39  0.38  0.40
RNE_ECOLI   0.43  0.32  0.48  0.50  0.33  0.45  0.52
SERC_ECOLI  0.49  0.43  0.48  0.50  0.49  0.30  0.40
SLYD_ECOLI  0.47  0.28  0.48  0.50  0.56  0.20  0.25
